Unnamed: 0	title	link	country	date	content
0	 Kremlin Rejects Biden Terms for Ukraine Talks		Ukraine		"<div id=""post-content"">"
1	 ISW Russian Offensive Campaign Assessment, December 1		Ukraine		"<div id=""post-content"">"
2	 British Defence Intelligence Update Ukraine – 02 December 2022		Ukraine		"<div id=""post-content"">"
3	 Biden Says He’s Ready to Talk to Putin but With One Major Caveat		Ukraine		"<div id=""post-content"">"
4	 EXPLAINED: How Many Troops has Ukraine Lost in Russia’s Invasion?		Ukraine		"<div id=""post-content"">"
5	"<span class=""label-title"">OPINION:</span> Weaponizing Winter and Ukraine’s Victory: NATO Foreign Ministers’ Meeting in Bucharest"		Ukraine		"<div id=""post-content"">"
6	"<span class=""label-title"">OPINION:</span> NATO Summit in Bucharest: Ambiguous Signals for Ukraine’s Future"		Ukraine		"<div id=""post-content"">"
7	 Russian Public Support for War Plummets – Leaked Poll		Ukraine		"<div id=""post-content"">"
8	"<span class=""label-title"">OPINION:</span> High Time to Confiscate Russia’s Central Bank Reserves"		Ukraine		"<div id=""post-content"">"
9	 ISW Russian Offensive Campaign Assessment, November 30		Ukraine		"<div id=""post-content"">"
10	 British Defence Intelligence Update Ukraine – 01 December 2022		Ukraine		"<div id=""post-content"">"
11	 ‘Points of Invincibility’ Still Not Operational in Major Kyiv District		Ukraine		"<div id=""post-content"">"
12	 UK Unveils New Russia Sanctions Over Ukraine Mobilisation		Ukraine		"<div id=""post-content"">"
13	 Fear of Losing War Bites Russian Propagandists		Ukraine		"<div id=""post-content"">"
14	 EU Floats Idea of Special Court to Try Russia for Ukraine War		Ukraine		"<div id=""post-content"">"
15	 ISW Russian Offensive Campaign Assessment, November 29		Ukraine		"<div id=""post-content"">"
16	 British Defence Intelligence Update Ukraine – 30 November 2022		Ukraine		"<div id=""post-content"">"
17	 Massive Oil Depot Fire Reported in Russian Region Bordering Ukraine		Ukraine		"<div id=""post-content"">"
18	 “My Nan Was Killed in Mariupol – We Want Her Body Back”		Ukraine		"<div id=""post-content"">"
19	 EXPLAINED: NATO Summit Day 1 – What We Know		Ukraine		"<div id=""post-content"">"
